LULC_desc,lucode,usle_c,usle_p
Cacao,1,0.150,1
Coffee,2,0.150,1
Sugarcane,3,0.150,1
Banana,4,0.150,1
Pineapple,5,0.500,0.5
OilPalmPlantation,6,0.150,1
ArableLand,7,0.500,0.5
Mangrove,8,0.060,1
PalmSwamp,9,0.060,1
Forest,10,0.001,1
Grassland,11,0.080,1
Shrubland,12,0.080,1
MoorAndHeathland,13,0.080,1
ForestPlantation,14,0.001,1
BareArea,15,0.350,1
Pastureland,16,0.080,1
Pastureland,17,0.080,1
Pastureland,18,0.080,1
ComplexCultivationPatternedLand,19,0.250,0.8
ArtificialSurface,20,0.100,1
Wetland,21,0.060,1
WaterBody,22,0.000,1
ArtificialSurface,23,0.100,1
NoData,24,0.000,0
InactiveAgriculturalLand,25,0.500,0.5
GlacierAndPerpetualSnow,26,0.000,1
